"Dates","ET"
2006-09-14,4.91125
2006-09-22,4.90833333333333
2006-09-30,5.18541666666667
2006-10-08,5.38791666666667
2006-10-16,5.85083333333333
2006-10-24,5.80458333333333
2006-11-01,7.7425
2006-11-09,6.94875
2006-11-17,7.45625
2006-11-25,7.52291666666667
2006-12-03,8.05
2006-12-11,8.13791666666667
2006-12-19,10.0304166666667
2006-12-27,5.77125
2007-01-01,10.3575
2007-01-09,7.92416666666667
2007-01-17,9.11083333333333
2007-01-25,8.10416666666667
2007-02-02,8.9625
2007-02-10,9.78666666666667
2007-02-18,8.39625
2007-02-26,8.44833333333333
2007-03-06,7.26083333333333
2007-03-14,9.72458333333333
2007-03-22,5.90375
2007-03-30,4.76166666666667
2007-04-07,4.62166666666667
2007-04-15,4.11208333333333
2007-04-23,5.12458333333333
2007-05-01,4.26791666666667
2007-05-09,3.81958333333333
2007-05-17,3.74083333333333
2007-05-25,3.60375
2007-06-02,3.49375
2007-06-10,3.80083333333333
2007-06-18,2.71416666666667
2007-06-26,3.63
2007-07-04,3.8025
2007-07-12,2.91125
2007-07-20,3.57583333333333
2007-07-28,3.66916666666667
2007-08-05,4.68541666666667
2007-08-13,4.675
2007-08-21,4.01375
2007-08-29,3.59583333333333
2007-09-06,5.48791666666667
2007-09-14,4.55416666666667
2007-09-22,4.32
2007-09-30,4.88166666666667
2007-10-08,5.26208333333333
2007-10-16,5.29958333333333
2007-10-24,6.52666666666667
2007-11-01,9.08916666666667
2007-11-09,7.67291666666667
2007-11-17,9.1
2007-11-25,11.0283333333333
2007-12-03,11.1075
2007-12-11,11.2904166666667
2007-12-19,11.1508333333333
2007-12-27,5.04708333333333
2008-01-01,12.0445833333333
2008-01-09,10.91375
2008-01-17,11.2841666666667
2008-01-25,11.0483333333333
2008-02-02,12.3791666666667
2008-02-10,10.4354166666667
2008-02-18,10.1458333333333
2008-02-26,8.43208333333333
2008-03-05,9.01
2008-03-13,7.44416666666667
2008-03-21,7.2925
2008-03-29,5.55416666666667
2008-04-06,5.79083333333333
2008-04-14,4.99208333333333
2008-04-22,4.70958333333333
2008-04-30,4.24083333333333
2008-05-08,4.68625
2008-05-16,4.48083333333333
2008-05-24,4.26208333333333
2008-06-01,3.87666666666667
2008-06-09,3.76875
2008-06-17,3.61791666666667
2008-06-25,3.15875
2008-07-03,3.37541666666667
2008-07-11,4.58583333333333
2008-07-19,3.42
2008-07-27,3.93166666666667
2008-08-04,4.66083333333333
2008-08-12,4.80916666666667
2008-08-20,3.44
2008-08-28,4.69
2008-09-05,3.82166666666667
2008-09-13,5.3125
2008-09-21,5.66666666666667
2008-09-29,6.38
2008-10-07,6.07541666666667
2008-10-15,6.07083333333333
2008-10-23,7.18125
2008-10-31,7.87833333333333
2008-11-08,9.29916666666667
2008-11-16,10.04375
2008-11-24,10.0091666666667
2008-12-02,9.36375
2008-12-10,12.0483333333333
2008-12-18,10.50875
2008-12-26,7.5175
